material,description
100000,ABACATE KG
100005,ABIU KG
100007,ABOBORA JAPONESA KG
100008,ABOBORA MADURA KG
100009,ABOBORA MORANGA KG
100011,ABOBRINHA CAIPIRA KG
100012,ABOBRINHA CONSERVA KG
100014,ABOBRINHA VERDE KG
100015,COUVE CHINESA KG
100016,ACEROLA KG
100017,COND CHE VER SAL CEB AROMA DAS ERVAS 30G
100028,AGRIAO UN
100029,AIPIM KG
100031,AIPO SALSAO UN
100033,ALECRIM UN
100036,ALFACE CRESPA UN
100038,ALFACE LISA UN
100040,ALFACE ROMANA
100041,ALFACE CRESPA ROXA UN
100043,ALFAVACA UN
100044,ALHO IMPORTADO KG
100047,ALHO NACIONAL KG
100048,ALHO PORO UN
100050,ALMEIRAO UN
100052,AMEIXA DAGEN KG
100053,AMEIXA GEMA DE OURO KG
100054,AMEIXA IMPORTADA KG
100055,AMEIXA NACIONAL KG
100056,AMEIXA RUBI MEL KG
100058,AMORA EMBALADA KG
100059,ARRUDA UN
100061,ATEMOYA KG
100062,BANANA MACA kg
100063,BANANA NANICA KG
100064,BANANA OURO KG
100065,BANANA PRATA KG
100066,BANANA TERRA KG
100067,BARDANA GOBO KG
100068,BATATA ASTERIX KG
100070,BATATA BAROA AMARELA KG
100072,BATATA DOCE KG
100073,BATATA INGLESA KG
100074,BATATA CALABRESA KG
100075,BATATA YACON KG
100076,BERINJELA KG
100078,BERINJELA CONSERVA KG
100079,BERINJELA JAVANESA KG
100080,BERTALHA
100081,BETERRABA KG
100082,BETERRABA RAMA UN
100086,BROCOLIS UN
100088,BROTO ALFAFA EMBALADO UN
100090,BROTO DE FEIJAO MOYASHI NIPPO 250G
100091,CAJA KG
100094,CAQUI ESPANHOL KG
100095,CAQUI FUYU KG
100096,CAQUI GIOMBO KG
100097,CAQUI RAMA FORTE KG
100099,CARA KG
100101,CARAMBOLA KG
100103,CATALONIA UN
100104,CEBOLA EXTRA KG
100105,CEBOLA CONSERVA KG
100106,CEBOLA IMPORTADA KG
100107,CEBOLA NACIONAL KG
100108,CEBOLA ROXA KG
100110,CEBOLINHA UN
100111,CENOURA KG
100112,CENOURA RAMA UN
100113,MINI CENOURA CLASSIC 250G
100114,COCO VERDE UN
100115,COENTRO UN
100117,COUVE MINEIRA
100121,DAMASCO KG
100122,DECOPON KG KG
100125,ERVILHA KG
100128,ESPINAFRE UN
100129,FAVA KG
100133,FIGO VERDE KG
100134,FOLHA DE UVA KG
100136,FRUTA PAO KG
100137,FUNCHO ERVA DOCE UN
100138,GENGIBRE KG
100140,GOIABA VERMELHA KG
100141,GRANADILHA KG
100142,POMELO GRAPEFRUIT KG
100143,GRAVIOLA KG
100145,HORTELA UN
100147,INHAME DEDO KG
100148,JATOBA KG
100149,JABUTICABA KG
100150,JACA KG
100152,JAMBO ROSA EMBALADO KG
100154,JILO KG
100155,KINO KG
100156,KIWI KG
100157,LARANJA BAHIA KG
100159,LARANJA KINKAN KG
100160,LARANJA LIMA KG
100161,LARANJA PERA KG
100162,LARANJA SELETA KG
100163,LARANJA PERA (S) KG
100166,LIMA PERSIA KG
100167,LIMAO TAHITY KG
100168,LIMAO SICILIANO KG
100169,LIMAO GALEGO KG
100170,LOURO UN
100171,MACA RED DELICIOUS KG
100172,MACA FUJI KG
100173,MACA GALA IMPORTADA KG
100174,MACA GALA NACIONAL KG
100175,MACA GOLDEN KG
100176,MACA GRANNY SMITH KG
100177,MAMAO FORMOSA KG
100178,MAMAO PAPAIA KG
100179,MANGA ESPADA KG
100180,MANGA HADEN KG
100181,MANGA KEITI KG
100182,MANGA PALMER KG
100184,MANGA ROSA KG
100185,MANGA TOMMY KG
100188,MANGOSTIM KG
100189,MANGUITA KG
100190,MANJERICAO UN
100191,MARACUJA AZEDO KG
100192,MARACUJA DOCE KG
100193,MARMELO KG
100194,MAXIXE KG
100195,MELANCIA KG
100196,MELANCIA AMARELA KG
100197,MELANCIA BABY KG
100199,MELANCIA SEM SEMENTE KG
100200,MELAO AMARELO KG
100201,MELAO ANDINO KG
100202,MELAO DOCE REDINHA EXTRA KG
100203,MELAO GALIA KG
100204,MELAO NET MELON KG
100205,MELAO ORANGE KG
100206,MELAO PELE DE SAPO KG
100207,MILHO VERDE EMBALADO KG
100208,MEXERICA RIO KG
100209,MEXERICA IMPORTADA KG
100210,MINI ABACATE KG
100211,MINI CHUCHU EMBALADO KG
100213,MOSTARDA UN
100214,MURCOTE KG
100215,NABO JAPONES KG
100216,NABO KG
100218,NECTARINA IMPORTADA KG
100219,NECTARINA NACIONAL KG
100220,NESPERA KG
100221,NIRA UN
100223,OVOS BRANCO EMBALADO DUZIA UN
100225,OVOS DE CODORNA UN
100226,PEPINO HOLANDES KG
100227,PEPINO JAPONES KG
100228,PERA ASIATICA USA KG
100230,PERA D ANJOUR KG
100231,PERA D ANJOUR RED KG
100233,PERA PORTUGUESA KG
100234,PERA PACKANS PT KG
100235,PERA RED WILLIAMS KG
100236,PERA WILLIAMS KG
100239,PESSEGO NACIONAL KG
100241,PESSEGO DIAMANTE KG
100242,PESSEGO IMPORTADO KG
100244,PIMENTA CAMBUCI KG
100245,PIMENTA DE CHEIRO GRANEL KG
100246,PIMENTA DEDO DE MOCA KG
100247,PIMENTA MALAGUETA KG
100248,PIMENTA AMERICANA KG
100249,PIMENTAO VERDE KG
100250,PIMENTAO AMARELO KG
100251,PIMENTAO CREME KG
100252,PIMENTAO LARANJA KG
100254,PIMENTAO VERMELHO KG
100255,PINHA KG
100256,PINHAO KG
100257,PONCA KG
100260,RUCULA HIDROPONICA UN
100264,MILHO PALHA UN
100265,MURCOTE SUCO KG
100266,MACA FUJI - EXTRA KG
100267,MACA RED DELICIOUS EXTRA KG
100268,UVA ROSADA BANDEJA UN
100272,MEXERICA CRAVO KG
100274,QUIABO KG
100275,QUIABO EMBALADO UN
100277,RADICCHIO KG
100279,RAMBUTAM KG
